activity,confidence,timestamp,phone_lat,phone_long
Walking,98,Thu Oct 28 20:58:39 GMT+02:00 2021,55.8264339,9.8630263
Walking,98,Thu Oct 28 20:58:43 GMT+02:00 2021,55.8264631,9.8630685
Walking,98,Thu Oct 28 20:58:46 GMT+02:00 2021,55.8264837,9.8631027
Walking,98,Thu Oct 28 20:58:50 GMT+02:00 2021,55.8264798,9.8630655
Walking,98,Thu Oct 28 20:58:53 GMT+02:00 2021,55.8264728,9.8630668
Walking,98,Thu Oct 28 20:58:57 GMT+02:00 2021,55.8264994,9.8630352
Walking,98,Thu Oct 28 20:59:01 GMT+02:00 2021,55.8265495,9.8630193
Walking,98,Thu Oct 28 20:59:04 GMT+02:00 2021,55.8265939,9.8630056
Walking,98,Thu Oct 28 20:59:07 GMT+02:00 2021,55.8266306,9.8629706
Walking,98,Thu Oct 28 20:59:11 GMT+02:00 2021,55.8266515,9.8629135
Walking,98,Thu Oct 28 20:59:14 GMT+02:00 2021,55.8266712,9.8628367
Walking,98,Thu Oct 28 20:59:17 GMT+02:00 2021,55.8266911,9.8627525
Walking,98,Thu Oct 28 20:59:20 GMT+02:00 2021,55.8267078,9.8626772
Walking,98,Thu Oct 28 20:59:24 GMT+02:00 2021,55.8267291,9.8625975
Walking,98,Thu Oct 28 20:59:28 GMT+02:00 2021,55.8267391,9.8625027
Walking,98,Thu Oct 28 20:59:32 GMT+02:00 2021,55.826739,9.862406
Walking,98,Thu Oct 28 20:59:35 GMT+02:00 2021,55.8267455,9.862344
Walking,98,Thu Oct 28 20:59:39 GMT+02:00 2021,55.8267623,9.8622629
Walking,98,Thu Oct 28 20:59:42 GMT+02:00 2021,55.8267705,9.8621778
Walking,98,Thu Oct 28 20:59:46 GMT+02:00 2021,55.8267618,9.862121
Walking,98,Thu Oct 28 20:59:49 GMT+02:00 2021,55.8267203,9.8621082
Walking,98,Thu Oct 28 20:59:52 GMT+02:00 2021,55.8266751,9.8621195
Walking,98,Thu Oct 28 20:59:56 GMT+02:00 2021,55.8266235,9.8621542
Walking,98,Thu Oct 28 20:59:59 GMT+02:00 2021,55.8265825,9.8621625
Walking,98,Thu Oct 28 21:00:03 GMT+02:00 2021,55.8265292,9.862164
Walking,98,Thu Oct 28 21:00:06 GMT+02:00 2021,55.8264906,9.8621606
Walking,98,Thu Oct 28 21:00:09 GMT+02:00 2021,55.826448,9.8621635
